GNEG1121,GNEG1111
BENG2632,PHYS2054,BIOL1544,GNEG1111
BENG2643,PHYS2054
BENG3113,PHYS2074
BENG3653,MEEG2403
BENG3663,PHYS2054,MATH2564
BENG3723,MEEG2403,MEEG3503
BENG3733,MEEG3503,MEEG2403,MATH2584
BENG4123,BIOL2013,BENG3113
BENG4663,BENG3653
BENG4703,BENG2632
BENG4743,BENG3723,BENG3733
BENG4753L,MATH2564,PHYS2074,CHEM1123
BENG4933,CVEG3223
BMEG2614,GNEG1121,CHEM1103,MATH2554,PHYS2054
BMEG2813,BMEG2614,CHEM1123,MATH2564,PHYS2074
BMEG2904,BMEG2614,MATH2564,PHYS2074
BMEG3124,BMEG2904
BMEG3634,BMEG2813,CHEM1123,BIOL1544
BMEG3653,MATH2584,BMEG2614,MATH2574
BMEG3801,BMEG2813
BMEG3824,BMEG3634,CHEM1123,BIOL2533
BMEG4103L,MATH2564,PHYS2074,CHEM1123
BMEG4213,BMEG2813
BMEG4243,BMEG4623,BMEG3634
BMEG4403,BMEG2904,PHYS2074
BMEG4413,BMEG3824,BIOL2533
BMEG4513,BMEG2904
BMEG4523,BMEG3124,BMEG3653
BMEG4623,BMEG3653,MEEG2403,MEEG3503,MATH2574,MATH2584
BMEG4713,MEEG3503,BIOL2213
BMEG4743,BMEG4623
BMEG4813,BMEG4623
BMEG4823,BMEG4813
BMEG4873,BMEG2813,BMEG3824,MEEG3503
CHEG2113,CHEM1123
CHEG2133,MATH2574,CHEG2113
CHEG2313,MATH2574,CHEG2113
CHEG3144,CHEG2133,MATH2584
CHEG3233L,CHEG2133,CHEG2313
CHEG3253,CHEG3144,CHEG3323,MATH2584
CHEG3323,CHEG2313,MATH2574
CHEG3333,CHEG3253,CHEG3323
CHEG3713,CHEM3603,PHYS2054,CHEG3323
CHEG4163,CHEG3144
CHEG4273,CHEG2313
CHEG4332L,CHEG3333,CHEG4163,CHEG3233L
CHEG4413,CHEG4163,ECON2013,CHEG3144,CHEG3333
CHEG4423,CHEG4163,CHEG3253
CHEG4443,CHEG4413
CHEG4813,CHEG3144,CHEG3323
CVEG2015,MATH2574,MATH2564,PHYS2054
CVEG2054,MATH2554
CVEG2113,CVEG2015
CVEG3134,MATH2584,CVEG2015,GEOS1114,CVEG2002
CVEG3213,CVEG2015
CVEG3223,CVEG2054,CVEG3213,INEG2313
CVEG3243,MATH2584,CHEM1103
CVEG3303,CVEG2015
CVEG3413,CVEG2054,INEG2313
CVEG4053,CVEG2054
CVEG4083,CVEG2054
CVEG4143,CVEG3134,INEG2313,INEG2413
CVEG4153,CVEG3134
CVEG4203,CVEG3243
CVEG4223,CVEG3223
CVEG4243,CVEG3243,INEG2313,INEG2413
CVEG4253,CVEG3243
CVEG4263,CVEG3213
CVEG4273,CVEG3213,CVEG3223
CVEG4303,CVEG2113,CVEG3303
CVEG4313,CVEG2113,CVEG3303
CVEG4323,CVEG3303,INEG2413,CVEG4303
CVEG4343,CVEG4303
CVEG4353,CVEG2113,CVEG3303
CVEG4393,CVEG4303
CVEG4413,CVEG4433
CVEG4423,CVEG3413,INEG2413
CVEG4433,CVEG3134,CVEG3413,INEG2313
CVEG4812,CVEG4243
CVEG4822,CVEG4303
CVEG4832,CVEG4303,CVEG4313,CVEG4323
CVEG4842,CVEG2002,CVEG4423
CVEG491VH,CVEG3134
CVEG492VH,CVEG3243
CVEG493VH,CVEG3303
CVEG494VH,CVEG3413
CSCE2004,MATH2554
CSCE2014,CSCE2004
CSCE2114,MATH2554
CSCE2214,CSCE2114
CSCE3193,CSCE2014
CSCE3513,CSCE3193
CSCE3613,CSCE2014,CSCE2214
CSCE3953,CSCE2214
CSCE4013,CSCE3193,CSCE2214
CSCE4043,INEG2313
CSCE4114,CSCE2214
CSCE4123,CSCE2014
CSCE4133,CSCE3193,MATH2603
CSCE4143,CSCE4133,INEG2313
CSCE4213,CSCE2214
CSCE4233,CSCE2214
CSCE4253,CSCE3193
CSCE4263,CSCE3193
CSCE4323,CSCE4133
CSCE4333,ELEG3933,MATH2584
CSCE4353,CSCE2214
CSCE4423,CSCE2014,INEG2313
CSCE4433,CSCE2014,MATH2603
CSCE4523,CSCE3193
CSCE4543,CSCE4133,CSCE3513
CSCE4561,CSCE3513,CSCE3613
CSCE4613,CSCE2014
CSCE4623,CSCE3193
CSCE4643,CSCE2014
CSCE4753,INEG2313
CSCE4813,CSCE2014
CSCE4853,CSCE3193
CSCE4914,CSCE2114
CSCE4963,CSCE4561
ELEG2104,MATH2564
ELEG2114,MATH2584,ELEG2104
ELEG3124,MATH2584,ELEG2104
ELEG3143,ELEG3124
ELEG3214,MATH2574,ELEG2114,PHYS2074
ELEG3224,ELEG3214,MATH2584
ELEG3304,ELEG2114
ELEG3704,PHYS2074,MATH2574,ELEG2114
ELEG3903,MATH2564,PHYS2074
ELEG3924,ELEG2904
ELEG3933,MATH2584,PHYS2074
ELEG4063,ELEG3224,ELEG3924
ELEG4071,ELEG4063
ELEG4203,MATH2584,ELEG3214
ELEG4223,ELEG4203
ELEG4233,ELEG3214,ELEG2904
ELEG4243,ELEG3224
ELEG4293,ELEG3224
ELEG4303,ELEG4203,ELEG3214,PHYS2074
ELEG4403,ELEG3124
ELEG4413,ELEG4403
ELEG4423,ELEG4403
ELEG4463L,ELEG3924,ELEG3124
ELEG4473,ELEG3124,ELEG3304
ELEG4503,ELEG3304
ELEG4513,ELEG2114
ELEG4523,ELEG3304
ELEG4533,ELEG3304,ELEG3224
ELEG4543,ELEG2114,ELEG3214
ELEG4553,ELEG3224,ELEG3124
ELEG4603,ELEG3124
ELEG4623,ELEG3143
ELEG4703,ELEG3704
ELEG4773,ELEG3704,MATH2584
ELEG4783,ELEG3704
ELEG4914,ELEG2904
ELEG4963,ELEG4914
ELEG4983,ELEG3924
INEG2313,MATH2564
INEG2333,INEG2313
INEG2413,MATH2554
INEG3513,MEEG2303
INEG3613,INEG2103,MATH2574
INEG3623,INEG2333,INEG2413,CSCE2004
INEG3714,INEG2333
INEG3812H,INEG2812H
INEG4223,INEG2313
INEG4323,INEG2333
INEG4343,CSCE2004
INEG4383,INEG2313,INEG4553
INEG4423,INEG2413
INEG4433,INEG2403
INEG4543,INEG2413,INEG3613
INEG4553,INEG3613,INEG2333
INEG4593,INEG3513
INEG4633,INEG2333,INEG3613
INEG4683,CSCE2004,INEG2313
INEG4733,INEG2333
INEG4812H,INEG3812H
INEG4833,CSCE2004
INEG4911,INEG2001,INEG3613,INEG3623,INEG3714,INEG4553
INEG4923,INEG3513,INEG3613,INEG3623,INEG4911
MEEG2003,MATH2574,PHYS2054
MEEG2013,MEEG2003,MATH2574
MEEG2100,GNEG1121
MEEG2103,MEEG2013,PHYS2054,MEEG2100
MEEG2303,MATH2554,PHYS2054,CHEM1103
MEEG2403,PHYS2054,MATH2564
MEEG2403,PHYS2054,MATH2564
MEEG2703,MATH2584
MEEG3013,MEEG2003
MEEG3113,MEEG2103,MATH2584,MEEG2703,MEEG2013
MEEG3202L,MEEG3013,ELEG3903,MEEG2303,PHYS2074
MEEG3212L,MEEG3202L,MEEG3503
MEEG3503,MATH2584,MEEG2403
MEEG4003,MEEG2013
MEEG4023,MEEG3013
MEEG4104,MEEG3113,MEEG3013
MEEG4123,MEEG3013,MEEG4413
MEEG4132,MEEG4104
MEEG4143,MEEG4413,MEEG3013
MEEG4153,MEEG4104
MEEG4182,MEEG4104
MEEG4192,MEEG4182
MEEG4202L,MEEG4483,MEEG3212L,MEEG4104
MEEG4213,MEEG3113
MEEG4233,ELEG3903
MEEG4253,MEEG2703,MEEG3113
MEEG4303,MEEG2303
MEEG4313,MEEG3013,MEEG3503
MEEG4323L,MATH2564,PHYS2074
MEEG4413,MEEG3503
MEEG4423,MEEG3503
MEEG4433,MEEG3503
MEEG4453,MEEG4413
MEEG4473,MEEG4413
MEEG4483,MEEG4413
MEEG4493,MEEG3503
MEEG4503,MATH2584,MEEG3503
MEEG4523,MEEG2013,MEEG2403
